observation record,transect,X,Y,elevation change,fall line exposure,max aphids,aphids,max mealybugs,mealybugs,max ants / mealybug,ants,max moths,moths,bats,Management,ev2,ev3
1,2a,-5,2,,,5,2.14198681,0,0,5,0,3,2.456111014,4.912222029,HF,0,0
2,2a,-4,2,,,6,3.19663453,1,0.4457115966,5,0.4336898283,3,2.661149239,5.322298478,BF,0,0
3,2a,-3,2,,,7,3.384178107,2,1.465850095,5,4.897726063,3,0.508837912,0.508837912,NM,0,0
4,2a,-2,2,,,8,0.1126506951,2,1.429905203,5,5.561464181,3,2.935658846,2.935658846,HF,0,0
5,2a,-1,2,,,9,2.748968326,2,0.7726112262,5,2.290270755,3,1.342407309,1.342407309,SF,0,0
6,2a,1,2,,,20,9.236575885,2,1.143883641,5,2.680355972,3,2.209962983,2.209962983,NM,0,0
7,2a,2,2,,,25,21.40092532,2,0.9450803067,3,1.612907086,5,2.884910951,5.769821901,NM,0,0
8,2a,3,2,,,30,16.17964554,15,6.919827633,3,10.50136748,5,2.796459552,2.796459552,SF,0,0
9,2a,4,2,,,35,20.91657865,15,12.16937274,3,29.0411512,5,2.495844366,2.495844366,HF,0,0
10,2a,5,2,,,40,38.38370066,15,8.222846588,3,0.906663734,5,1.432395925,2.864791851,BF,0,0
11,2a,6,2,,,60,5.95937002,15,7.053735426,3,20.28667714,5,2.416810975,4.83362195,HF,0,0
12,2a,7,2,,,70,33.23226508,15,11.67979864,2,13.29170272,5,0.56387952,1.12775904,HF,0,0
13,2a,8,2,,,80,74.42167702,15,5.103236457,2,9.562724595,5,0.3678659226,0.3678659226,BF,0,0
14,2a,9,2,,,90,36.66278819,25,19.75067631,2,10.9155196,5,2.329651628,2.329651628,SF,0,0
15,2a,10,2,,,90,20.79775046,25,14.90513212,2,26.6964572,5,2.53324441,2.53324441,BF,0,0
16,2a,11,2,,,90,71.15076858,25,9.508350743,2,9.945322886,5,2.239833154,2.239833154,SF,0,0
17,2a,12,2,,,90,85.99895354,25,19.95302122,2,11.21726038,5,1.331585579,1.331585579,HF,0,0
18,2a,13,2,,,90,60.63171713,25,7.709049662,2,0.6755081654,5,0.3680935928,0.7361871856,NM,0,0
19,2a,14,2,,,80,46.73377746,25,12.93438042,2,5.749544491,5,2.610879704,2.610879704,BF,0,0
20,2a,15,2,,,80,3.856225632,25,1.7419583,2,0.9463789265,5,2.292685763,4.585371526,SF,0,0
21,2a,16,2,,,80,27.45706717,25,24.59386052,2,37.32427298,5,2.247234657,4.494469315,BF,0,0
22,2a,17,2,,,80,72.35085318,25,11.65162341,2,18.90251296,5,1.032532124,1.032532124,SF,0,0
23,2a,18,2,,,70,67.75126362,25,19.79613352,2,38.64142024,5,2.559174077,5.118348153,HF,0,0
24,2a,19,2,,,70,46.20100831,15,3.851820722,2,5.819698537,5,2.829039892,2.829039892,NM,0,0
25,2a,20,2,,,70,40.00331243,15,11.86465236,2,5.461378907,5,1.475547017,2.951094033,HF,0,0
26,2a,21,2,,,70,9.821705395,15,10.74838387,2,14.55534639,5,1.822564805,3.64512961,SF,0,0
27,2a,22,2,,,60,36.34240218,15,13.50042085,2,1.767196089,5,0.01524630734,0.03049261468,NM,0,0
28,2a,23,2,,,60,13.86404022,15,4.638007562,2,6.657829675,5,0.4644350885,0.928870177,NM,0,0
29,2a,24,2,,,60,29.7725451,15,5.586431984,2,4.278917048,5,0.3507995969,0.3507995969,BF,0,0
30,2a,25,2,,,50,29.41027751,15,14.48644646,2,8.135509424,5,2.89119028,2.89119028,SF,0,0
